Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.000000,6110.000000,5660.000000,6110.000000,4675.781250,74195000
2000-01-05,5800.000000,6060.000000,5520.000000,5580.000000,4270.190918,74680000
2000-01-06,5750.000000,5780.000000,5580.000000,5620.000000,4300.801758,54390000
2000-01-07,5560.000000,5670.000000,5360.000000,5540.000000,4239.581543,40305000
2000-01-10,5600.000000,5770.000000,5580.000000,5770.000000,4415.591309,46880000
2000-01-11,5820.000000,6100.000000,5770.000000,5770.000000,4415.591309,59745000
2000-01-12,5610.000000,5740.000000,5600.000000,5720.000000,4377.328613,29220000
2000-01-13,5600.000000,5740.000000,5560.000000,5710.000000,4369.675293,41190000
2000-01-14,5720.000000,5880.000000,5680.000000,5830.000000,4461.506836,49375000
2000-01-17,6000.000000,6180.000000,5920.000000,6100.000000,4668.128906,63505000
2000-01-18,6160.000000,6160.000000,5980.000000,6100.000000,4668.128906,45260000
2000-01-19,6000.000000,6040.000000,5960.000000,5960.000000,4560.991699,40205000
2000-01-20,5860.000000,6040.000000,5820.000000,6040.000000,4622.213379,37315000
2000-01-21,5950.000000,5980.000000,5880.000000,5880.000000,4499.772461,32535000
2000-01-24,5800.000000,5900.000000,5700.000000,5700.000000,4362.024902,34355000
2000-01-25,5520.000000,5640.000000,5440.000000,5440.000000,4163.054688,44250000
2000-01-26,5500.000000,5520.000000,5410.000000,5480.000000,4193.665039,29285000
2000-01-27,5480.000000,5620.000000,5430.000000,5520.000000,4224.274414,27900000
2000-01-28,5640.000000,5880.000000,5540.000000,5820.000000,4453.855957,38315000
2000-01-31,5640.000000,5730.000000,5560.000000,5580.000000,4270.190918,39630000
2000-02-01,5600.000000,5680.000000,5260.000000,5320.000000,4071.223145,71470000
2000-02-02,5220.000000,5370.000000,5110.000000,5250.000000,4017.652588,64105000
2000-02-03,5250.000000,5460.000000,4970.000000,5130.000000,3925.820557,142765000
2000-02-04,5130.000000,5130.000000,5130.000000,5130.000000,3925.820557,0
2000-02-07,5140.000000,5330.000000,5040.000000,5240.000000,4010.000488,64140000
2000-02-08,5340.000000,5480.000000,5310.000000,5430.000000,4155.401855,58460000
2000-02-09,5560.000000,5720.000000,5480.000000,5720.000000,4377.328613,51050000
2000-02-10,5660.000000,5880.000000,5600.000000,5760.000000,4407.938965,61845000
2000-02-11,5960.000000,5960.000000,5680.000000,5700.000000,4362.024902,34660000
2000-02-14,5600.000000,5660.000000,5340.000000,5380.000000,4117.138672,44140000
2000-02-15,5380.000000,5420.000000,5140.000000,5200.000000,3979.389404,38315000
2000-02-16,5180.000000,5200.000000,4780.000000,5000.000000,3826.337402,73115000
2000-02-17,4940.000000,5100.000000,4910.000000,5080.000000,3887.558105,65185000
2000-02-18,5370.000000,5630.000000,5160.000000,5300.000000,4055.915771,108750000
2000-02-21,5200.000000,5260.000000,5030.000000,5070.000000,3879.907227,26485000
2000-02-22,5000.000000,5240.000000,5000.000000,5120.000000,3918.166992,24180000
2000-02-23,5220.000000,5260.000000,5100.000000,5140.000000,3933.474121,27720000
2000-02-24,5120.000000,5240.000000,5060.000000,5070.000000,3879.907227,26075000
2000-02-25,5080.000000,5150.000000,4980.000000,5120.000000,3918.166992,27875000
2000-02-28,5000.000000,5050.000000,4800.000000,4800.000000,3673.282715,30140000
2000-02-29,4900.000000,5140.000000,4840.000000,5120.000000,3918.166992,51820000
2000-03-01,5120.000000,5120.000000,5120.000000,5120.000000,3918.166992,0
2000-03-02,5880.000000,5880.000000,5520.000000,5880.000000,4499.772461,117750000
2000-03-03,6200.000000,6250.000000,5880.000000,6000.000000,4591.603516,140990000
2000-03-06,6000.000000,6050.000000,5600.000000,5640.000000,4316.106934,39150000
2000-03-07,5600.000000,5640.000000,5480.000000,5620.000000,4300.801758,30070000
2000-03-08,5520.000000,6000.000000,5500.000000,5920.000000,4530.381348,32460000
2000-03-09,5970.000000,5980.000000,5620.000000,5620.000000,4300.801758,55890000
2000-03-10,5790.000000,5800.000000,5520.000000,5540.000000,4239.581543,28605000
2000-03-13,5480.000000,5490.000000,5160.000000,5180.000000,3964.083008,32215000
2000-03-14,5170.000000,5380.000000,5160.000000,5210.000000,3987.043213,30060000
2000-03-15,5200.000000,5400.000000,5120.000000,5400.000000,4132.441895,46105000
2000-03-16,5480.000000,5520.000000,5360.000000,5400.000000,4132.441895,28795000
2000-03-17,5540.000000,5560.000000,5400.000000,5480.000000,4193.665039,24080000
2000-03-20,5600.000000,5710.000000,5530.000000,5660.000000,4331.414063,26365000
2000-03-21,5700.000000,5940.000000,5610.000000,5880.000000,4499.772461,44925000
2000-03-22,5960.000000,6300.000000,5880.000000,6200.000000,4744.655762,86975000
2000-03-23,6480.000000,6580.000000,6200.000000,6200.000000,4744.655762,64950000
2000-03-24,6320.000000,7120.000000,6180.000000,6800.000000,5203.817871,90260000
2000-03-27,6960.000000,7040.000000,6700.000000,6800.000000,5203.817871,67730000
2000-03-28,6900.000000,7260.000000,6820.000000,7030.000000,5379.827637,74425000
2000-03-29,7030.000000,7680.000000,6980.000000,7660.000000,5861.946777,78090000
2000-03-30,7520.000000,7560.000000,7050.000000,7050.000000,5395.134277,74645000
2000-03-31,6800.000000,7070.000000,6650.000000,6700.000000,5127.291992,63855000
2000-04-03,6920.000000,7320.000000,6860.000000,7100.000000,5433.398438,56805000
2000-04-04,7000.000000,7290.000000,6660.000000,6800.000000,5203.817871,58340000
2000-04-05,6800.000000,6800.000000,6800.000000,6800.000000,5203.817871,0
2000-04-06,6860.000000,6960.000000,6680.000000,6680.000000,5111.984375,47235000
2000-04-07,6860.000000,7260.000000,6780.000000,7200.000000,5509.926758,42355000
2000-04-10,7500.000000,7500.000000,7200.000000,7300.000000,5586.451172,35885000
2000-04-11,7200.000000,7200.000000,6950.000000,7100.000000,5433.398438,29075000
2000-04-12,6960.000000,7030.000000,6860.000000,6910.000000,5287.996582,35250000
2000-04-13,6910.000000,6910.000000,6910.000000,6910.000000,5287.996582,0
2000-04-14,6600.000000,6680.000000,6260.000000,6260.000000,4790.573730,62365000
2000-04-17,5420.000000,5750.000000,5340.000000,5520.000000,4224.274414,78050000
2000-04-18,6200.000000,6240.000000,5860.000000,6040.000000,4622.213379,73730000
2000-04-19,6300.000000,6460.000000,5860.000000,6000.000000,4591.603516,60615000
2000-04-20,5960.000000,6160.000000,5920.000000,6020.000000,4606.908691,37335000
2000-04-21,6060.000000,6180.000000,5970.000000,6050.000000,4629.867676,26425000
2000-04-24,5970.000000,6030.000000,5760.000000,5800.000000,4438.550293,27830000
2000-04-25,5620.000000,5760.000000,5520.000000,5640.000000,4316.106934,34900000
2000-04-26,5820.000000,5860.000000,5600.000000,5600.000000,4285.497070,39290000
2000-04-27,5520.000000,5700.000000,5400.000000,5400.000000,4132.441895,54110000
2000-04-28,5500.000000,6100.000000,5460.000000,6000.000000,4591.603516,75530000
2000-05-01,6000.000000,6000.000000,6000.000000,6000.000000,4591.603516,0
2000-05-02,6200.000000,6530.000000,6120.000000,6280.000000,4805.878418,72335000
2000-05-03,6240.000000,6260.000000,6090.000000,6180.000000,4729.351074,26585000
2000-05-04,6220.000000,6360.000000,6140.000000,6180.000000,4729.351074,26100000
2000-05-05,6180.000000,6180.000000,6180.000000,6180.000000,4729.351074,0
2000-05-08,6400.000000,6700.000000,6300.000000,6560.000000,5020.153320,52695000
2000-05-09,6560.000000,6560.000000,6560.000000,6560.000000,5020.153320,0
2000-05-10,6320.000000,6390.000000,6270.000000,6350.000000,4859.447754,27620000
2000-05-11,6350.000000,6350.000000,6350.000000,6350.000000,4859.447754,0
2000-05-12,6420.000000,6440.000000,6160.000000,6160.000000,4714.046875,47170000
